marketplace_id,order_id_market,date,produit,quantite,statut_retour
MKT-10007,1851,2025-02-03,Écran 24 pouces,1,Livré
MKT-10008,696,2025-02-14,Disque SSD,2,Livré
MKT-10010,1194,2025-01-06,Enceinte Bluetooth,1,Livré
MKT-10013,1532,2025-03-13,Batterie externe,3,Livré
MKT-10017,407,2025-03-11,Enceinte Bluetooth,5,Livré
MKT-10018,1905,2025-01-30,Chargeur rapide,1,Livré
MKT-10020,474,2025-03-26,Disque SSD,2,Inconnu
MKT-10024,1277,2025-01-14,Souris,2,En attente
MKT-10031,842,2025-01-20,Batterie externe,3,Livré
MKT-10032,484,2025-03-25,Enceinte Bluetooth,2,Livré
MKT-10034,18,2025-03-22,Disque SSD,3,Inconnu
MKT-10035,68,2025-01-02,Écran 24 pouces,1,Livré
MKT-10036,1220,2025-03-24,Câble USB-C,1,Livré
MKT-10039,849,2025-03-18,Chargeur rapide,0,En attente
MKT-10042,725,2025-02-25,Casque Bluetooth,3,Livré
MKT-10043,691,2025-02-26,Chargeur rapide,1,Livré
MKT-10045,960,2025-03-07,Souris,2,Livré
MKT-10046,869,2025-02-26,Batterie externe,2,En attente
MKT-10048,26,2025-01-09,Webcam HD,2,Livré
MKT-10050,586,2025-01-16,Écran 24 pouces,1,Retourné
MKT-10051,1734,2025-03-30,Écran 24 pouces,1,En attente
MKT-10054,604,2025-01-19,Disque SSD,2,Inconnu
MKT-10058,1969,2025-02-23,Batterie externe,3,Inconnu
MKT-10061,1790,2025-01-23,Souris,3,Livré
MKT-10065,735,2025-03-05,Casque Bluetooth,2,En attente
MKT-10074,797,2025-03-05,Enceinte Bluetooth,1,Livré
MKT-10077,1819,2025-03-02,Clavier,2,Livré
MKT-10080,755,2025-01-23,Enceinte Bluetooth,5,Livré
MKT-10087,379,2025-02-25,Webcam HD,5,Livré
MKT-10091,1103,2025-01-29,Clavier,2,Livré
MKT-10102,999,2025-03-20,Écran 24 pouces,3,Livré
MKT-10104,176,2025-01-23,Souris,2,Livré
MKT-10106,53,2025-02-25,Webcam HD,1,Livré
MKT-10107,59,2025-01-05,Enceinte Bluetooth,2,Livré
MKT-10114,143,2025-02-22,Câble USB-C,1,Livré
MKT-10117,1093,2025-01-07,Batterie externe,2,Livré
MKT-10129,1509,2025-01-27,Chargeur rapide,2,Livré
MKT-10130,1982,2025-03-18,Écran 24 pouces,2,En attente
MKT-10147,1383,2025-01-27,Écran 24 pouces,2,Livré
MKT-10151,722,2025-03-07,Câble USB-C,2,En attente
MKT-10152,1094,2025-02-07,Enceinte Bluetooth,2,Retourné
MKT-10157,1208,2025-01-12,Clavier,3,Livré
MKT-10159,579,2025-01-10,Casque Bluetooth,3,Livré
